tweet,sentiment
"@getgood I missed out on carrot cake last night.  Hope you had fun @wxwm.","neutral"
"@tommcfly Oh no! A lot of people are starting to tweet again! Hope you could still read our multiple tweets  Philippines tour","neutral"
"@Cinderell4 bad luck  oh well next time you will be more lucky...","sadness"
"@Mister_SEX I do!  Ill probably get fired if I do though","worry"
"Really good concepts at #mozconcept. I *really* love to send something mine","sadness"
"he killed everyone for nothing. :o  :-ss","worry"
"@jenberesford So sorry to hear about your mom! that really sucks","worry"
"Ugh - car got stolen sometime between yesterday evening and this morning when husband was due to go to work  Like we can afford this???","sadness"
"@SuperGinge Inorite","worry"
"My Degree  [Tear] happy moment!  http://mypict.me/1ZpF","happiness"
"Have a happy Friday and weekend everyone .. TGIF for me is nothing","happiness"
"im sad about missing out on the opportunity to be in valencias new video.","sadness"
"@mileycyrus I think i have same disorder","worry"
"@mariamariamaria im sorry you arent feeling too good","happiness"
"Leaving NOLA today  Counting down the seconds til I start crying. Love this place so much.","sadness"
"@AnnaSaccone Seeing my friends and doing coursework  I have the weekend off work so I am happy!","happiness"
"Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo","anger"
"@tylerakira - ughhh!!! have to go back there tonight","hate"
"cant wait to get his hands on his new blackberry","worry"
"Searching apartments in Kaohsiung. Will go seeing the apartments on next Tuesday. Havent found a good one with reasonable rent...","worry"
"@AliceS1 hey","sadness"
"Licking chocolate crumbs off a Twirl wrapper like Zammo on smack","happiness"
"@ispybeauty philly was soooo fun. im trying to come to sea isle asap. im working alot the next two weeks tho b/c alot of peole asked off","love"
"They had a site","neutral"
"Lack of plans for tonight  Anyone going out?","neutral"
"@IvanaE grrrrrrrrrrrrrr ive barely read any of it","worry"
"@cbobcreson @silatjunkie  So","sadness"
"Today i Know","hate"
"@brooketastic my keys were cracking and crap. I kind of miss my old phone already.","hate"
"AHHHH! Cant find anything because I have way too much open","surprise"
"It has been 24 hours now","sadness"
"I wouldnt mind some sunshine and a walk. Where are you","sadness"
"i have such a sore head","neutral"
"@ashleytisdale have fun!!!!  i dont have school for a while","fun"
"wish i can be with her every day","love"
"@windycitypretty that is sickening... Just shoot at will? Smh... Prayers for his family...","sadness"
"gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?  *kay&lt3*","worry"
"no more twitter in a while   .. tweet tweet","worry"
"@Annie713 Its ugly and gray outside even in San Diego. Not too cold","sadness"
"@jodiekearns Im there all weekend","enthusiasm"
"@tommcfly My eyes are starting to hurt! Its getting super late. But I just gotta keep tweeting. Haha! Philippines tour","love"
"Finally got a call for marriage counseling 3 days late....","sadness"
"I must have applied for about 20 jobs every day this week","empty"
"@mommymbd nope anthony wrecked his car i have to help him get it running","worry"
"Cant believe this Shit! Ive spend 30 minutes for for a snickers ice cream... Seems like no one does then anymore!","worry"
"Morning...I woke up to watch @taylorswift13 on the Today show. You rocked it girl. Wish I could have been there. So close but so far away","fun"
"finally got out of a 12 km traffic jam. well probably not be able to make it in time for a few laps tonight","happiness"
"Smart cars are the most worthless cars ever made. &amp it makes me sad how many of them I see anymore.","sadness"
"@brewstermax true but if I dont put a case on it Ill break it in a week.  dont worry ill find a way to make it work.","worry"
"Will you guys keep voting for her and ask ur followers to help to. Only 4days left before competitions close.","worry"
"Hi ya twitts..so leaving sat morning here in TX..sad  I guess gotta really find a job now..if anyone in Atlanta needs a great designer..","surprise"
"@mmitchelldaviss mitchell i tryed to add you on xbox live lastnight during when i was in your live show","sadness"
"My throat is killing me","worry"
"Im struggling today...Nola woke up at 3:30","empty"
"is still craving for a cheeseburger.","neutral"
"Back from Worcester.  My work week starts on Friday at 2:30.","neutral"
"@unmarketing boo im a week late  how long u in town for?","relief"
"@_YoureMyHeroine :( i really know how you feelin. i wish i could hug you","worry"
"Roasting to most probably death","worry"
"Gus","sadness"
"@nicolahunt nice way 2 end the week...","happiness"
"Yesterday I heard a song about taking a base onto a plane. Can someone help me find it? I dont know anything else about it.","surprise"
"Finally sunny days and Im too sick to go outside and play.","sadness"
"ger my foot is killing me and i miss my matthew","worry"
"@3stripe yeah","neutral"
"is back home now      gonna miss every one","love"
"@violetph  Gods sake it isnt even your birthday yet  i need a cool job like that.","worry"
"Last lunch with the interns","neutral"
"so freaking tired.  Its like my body refuses to move.","sadness"
"Its too hot.  I dont like it.","worry"
"Too hot. Station isnt packed but train packed. No windows open on train. Roasted sardines.","hate"
"Ugh worried about my math test","worry"
"@catashton I got my film developed at asda","surprise"
"I wish the weather would be slightly less rainy so I could use the hot tub.","worry"
"I fell! I think my knee is broken  but I look fabulous","sadness"
"I hate today.","neutral"
"Thanks everyone. Unfortunately nothing can be done. The sales speak for themselves","happiness"
"now my ds just died  whatta letdown!","sadness"
"@socialcalamity Haha k we should stop here. If not","hate"
"My ipod has taken its last breath... Im truly devastated. I have lost my public transportation companion","relief"
"*meow* a week ago today @sevilla90 was here and we were road trippin","worry"
"@AlexanderLaw I singularly failed to provoke anyone when I posted on this blog last time round","neutral"
"@IzzyJ_Is_Here oh hun","sadness"
"just come in from the garden. It is very warm out there but beautiful. Didnt do much revision though","neutral"
"@tgtommy the link sent me to a tax relief web page","neutral"
"@lanceseabourn I know  but this sub is sooooo good","happiness"
"Praise the advantages of todays copy protection: can not run my fresh installed 3D app","relief"
"Whistling while you work = LAME! lol","happiness"
"TGIF Resto here at home is dayuummm expensive!","surprise"
"WALC-ers are you ready to cry? its going to be a long day of reminiscing","sadness"
"@banjoist123 may I ask what bluegrass means? Sorry in advance for looking a bit silly by asking","sadness"
"@Cinderell4 i dont like to see you like this...  there must be something to make you smile...","worry"
"@dfarver76 Good BUT its supposed to storm later","worry"
"@shadowfish But Id have to drive  Or get a taxi. Do you have a pool table/jukebox?","enthusiasm"
"I want some sushi today","worry"
"not long in from sunbathing and burnt","sadness"
"@ShellyKramer Ive had a fever for the past 48 hours. You should see me. Im unshaven","sadness"
"@CarmelaMarie Im okay. Ima go to the park and play some ball. Not in the best of moods. Got stress to relieve.","worry"
"Going off BC is making me break out.","relief"
"i cant believe this woman talked me into getting a different hairstyle...real talk though...i have no clue of what to do with my hair","surprise"
"Had to take my bad ass dog to the pet hotel....so sad","worry"
"chilling on the sofa","worry"
"lost my game  by 3 POINTS!!!!!","worry"
"just got back from my exam... im surely gonna fail...now trying 2 get tickets 4 il divo! someone doesnt want us 2b there!!!","worry"
"@KirstynSmith I spent 3 hours sitting out in the sun - picnic lunch + ice cream = win. We should have had a BBQ today","happiness"
"Im taking a twitter break. Cell is dying","worry"
"Headache","sadness"
"Happy Friday. Just pulled some yummy radishes out of the garden. Hope the strawberries turn out. Still no blooms.","love"
"@devontebrown its cuz you love me. dont make me sad","sadness"
"my little booboo is sick","worry"
"Wishing I could be in NOLA this weekend  oh well","surprise"
"Im going to go to bed again","surprise"
"cant eat real food. Its pizza Friday.  Off to find some soup...","neutral"
"want food too","happiness"
"@aostheller Oceans 12","neutral"
"@HDEnvy Thanks!  Unfortunately the EU had probs with his satellite provider","enthusiasm"
"i love mandy moore so much  and also angela","love"
"@indiepixie omg a roach was in my room for the first time ever in this apartment today. I hope I dont have Patricia luck next","happiness"
"NOO!! XBOX got red rings of death","sadness"
"favorite shirt ruined:death by bleach  #fb","sadness"
"Missed getting my &quotTwilight&quot jacket @ modcloth! Man I wish I didnt have long monkey arms and could of gotten the L instead!!","sadness"
"Hiiiiii! I texted u the other day and u didnt respond  whats up with that?!","neutral"
"well im gonna go shower now. gotta get rdy 4 movies in a couple hours!   byeee   ~~  Esther &lt3    p.s.s i miss u katherine","happiness"
"Has finally finished emulsioning the bathroom. Now for gloss work","relief"
"@Rambleredhead I think Id be like Phoebes mom on friends - Stop the movie before the sad part.","neutral"
"@dulcedementia   poor Stuart...    I was wondering where he was!  Moving day today!I expect a welcome cake or case neighbor .... hehehe","worry"
"taking sad to a whole new level","worry"
"@joaniemaloney yep  which sucks because i thought somewhere it said it was..","sadness"
"Suddenly I remember all the memories with him  ohhh please","sadness"
"Google going down means DoubleClick goes down too","empty"
"I made it six days in a row w/out an accident in the house and then pops took me to a strange place and didnt give me time after b-fast","surprise"
"@Donniesbabe I will post it later. Its not on my comp","neutral"
"If I &quotunfollowed&quot you - its NOT on purpose. Something fishy is going on with my Tweet Deck !! Let me know if I &quotunfollowed&quot you.","surprise"
"Paid all my bills only to go out to the mailbox to find more of them","sadness"
"i think my ipod is sick  it doesnt want to connect to any wi-fi . . .","worry"
"Im feeling nauseous.","worry"
"#ivealwayswantedtosay Sorry to his wife also for moonying her...she was a lovely lady and it was a dare...she did not deserve that!","worry"
"@2dimples2 I dunno man. How bout some wendys?? mmmmmm we dont gots that in H-town","fun"
"not feelin 2 well  im not sick","worry"
"My 70-200mm lens hood fell in the #red-sea","neutral"
"feels really weird today.","empty"
"No one wants to sit with me at lunch  I guess Ill just bury my head in my laptop and continue to be anti-social.","sadness"
"@vivek1209    Whn r u goin to Europe?","worry"
"I think my book is gone forever... we mourn forever  SHIT!","sadness"
"@flyguyvan can u let her kno that ladys not spayed and potty trained :/  then see if she still wants her","neutral"
"Oh great","happiness"
"Oh snap!  Just broke my windshield while replacing my wiper blades.","worry"
"You guys need to get on me. Its been 2 weeks since Ive went on a cache hunt  #geocaching","neutral"
"Phooey!  Theyve planned CAMPING for my class reunion. I. Hate. Camping. ...and being the only single girl left from my graduating class.","worry"
"@inflight1 that sucks mama","neutral"
"is a failure","sadness"
"I misses my bed  so sleepy!","sadness"
"@LILPARADIVA @spookyjenb and Em","love"
"@AsMooNy ta3ally ma3ahaa w e83idy sa5neeha ly 6ool el 6ireee8  astaaahil wla :-p &lt&lt&lt kfff looool wallah thx bard w 7ar ahm shy 8ahwaaa =|","worry"
"grr!  i hate being damn near forced to go places.  especially to sit on a bus for an entire day just to sit in a house in podunktown","hate"
"@stacey79 that sucks - Im still hungry and sucked down my food.","worry"
"i thought follow friday was about gaining new friends","worry"
"@MatthewFuller i did i only got 3 stars on the pre wash then failed the rince","neutral"
"@pairadocsdesign and Radio X 96.1 is going all sports next month. Radio is dead.  #grandrapids","sadness"
"Earthlink says our modem is dead.  They want me to buy a new one or sign up for a one year contract ARGH!!!","sadness"
"sunniest week for ages....and exams","worry"
"Frustrated with copying 13Gigs across USB 1.1.Stupid old servers","sadness"
"Drag me to hell soundtrack from Christopher Young is delayed from june 2nd to july 7. Thats SUCKS pretty bad.","sadness"
"Actually Im really missing Fabian  Which is pretty sad since i talked to him like... 2 hours ago! Gosh time flies when you miss someone.","relief"
"Already feel like such an idiot on the phone and it makes it worse when Brandon says I didnt say the right stuff","love"
"I dont think the coffee at work agreed with my tummy","worry"
"Ben &amp Jerrys fail. Got email for free ice cream. Says click here to redeem coupon. When I click","sadness"
"Listening to Opeth. Trying not to think about missing their show in San Antonio. Failing","sadness"
"@KatherineLunt Really bored tonight though  Your book I think (Y) xxxxx","boredom"
"Almost fell asleep under the hair dryer  so tired","sadness"
"@eightwednesday @emilyhilleren I lost that membership when I got boosted to the 3 D club.  Its lonely.","sadness"
"if officially done with high school....  so sad... i miss them already! movie later???","worry"
"wow","sadness"
"i need new running shoes!! my feet are completely torn up","sadness"
"@alisonhaislip I envy everyone on AOTS...","empty"
"@jkblacker Unfortunately Im not @jamesog - someones squatting on that","sadness"
"I know Im already a week behind on FF. Will TRY to get one done today! Called into work 2hrs early due to problems so will be a busy day","worry"
"Is there ever going to be another production of The Last 5 Years in NY????????? I still havent seen it","surprise"
"@dlanham hey is there a way u can make a somatic theme for leopard? some themes have installers already that are shapeshifter independent","neutral"
"You said you effed up your nose!","neutral"
"What a dreary day in LA. Where did all our sunshine go?","surprise"
"Take that back on the cast...one dropped last night!","surprise"
"Reading through todays paper along with some watered down coffee compliments of my rents...","neutral"
"@Renee3 Oh no!! I hope its not bad","worry"
"Young love comes to an end","sadness"
"im well bored  had a great half term and i dont wanna go back to school on monday :( enjoying the hot weatler lo0l )","sadness"
"@kedge0417 is work next door sucking again","worry"
"Tweeting to tweeple about my tweens","love"
"waiting to go to 4th period to get the final over with. omgg im sooo gonna fail","worry"
"Dang my own LDBF didnt give me a Follow Friday shot out","sadness"
"@Tashster Have a cold one for me","fun"
"just get back home. the first exam was too long no time to finish it ...","empty"
"its beeen onee year","empty"
"Anxious for my dance recital tonorrow at UP :/ Groove Central will be miiiiissed  Coach Mycs! Loveyouuuu!","worry"
"@AngelIbarra @ZombieNicholas DUBLIN TOMORROW!! Cant wait.. hope ye are excited  Been over a year since last time","surprise"
"Sharapova loses 1st set 6-1","neutral"
"*sad face* project-m keeps crashing my itunes","worry"
"This is what I am drinking instead of beer: Airport is out of beer.. At least it is carbonated...  http://mypict.me/1Zu9","sadness"
"@LenaAlli i dont even know now lenaaa  when you going clothes show?","surprise"
"#FollowFriday In honor of my web buddies who moved.  @warpdesign @cianan @BigToach @mikedelgado","fun"
"@Hi_Im_Chris in the other room on my work laptop  fb chat might work","neutral"
"i look like crap right now  im very fucking moody to  *Shooting Star*","worry"
"@xxxmaggie oh that sucks  Im sorry.","sadness"
"From twitterberry moved to ubertwitter - suffered from BB cache errors","neutral"
"@LisaTalkingTots sorry to hear your news","neutral"
"@MrYungKL smH daTs whacK","neutral"
"I need to get it together before Ricky gets home. He is not going to be pleased about me breaking up this damn bathroom","worry"
"@lovessunflowers Oh no! Dead muffins ... how sad","surprise"
"My TweetDeck is languishing in API Hell. Again.","hate"
"@MyNC I was wondering....   Have a GREAT weekend!","worry"
"Back in lancaster bored already","enthusiasm"
"i could tell its gonna be an angry day...","sadness"
"NW Macedonia: Few rainy days in a row.","sadness"
"Eww town fair tire smells horrible. Its making me sick","neutral"
"@Marianna26 hey mar! i miss you also ( yeah  but i gotta find a stupidstupid school (","worry"
"@ahaulil I have a bird living with me.  So I have to find other ways to kill these damn things beside the exterminator.   #vegas it sucks","worry"
"I hate it when my sweetie has a bad day  http://tinyurl.com/lr22dj","sadness"
"@verbs_n_nouns ikr? my parents take the cake tho","sadness"
"@Stubinho you said you fucked up your nose!","worry"
"Nobody likes to feel low priority.","neutral"
"@successorstate yeah it was face2face  nite we went to palisades to see star trek. i cant remember it. i said it while we were in the car","fun"
"ill do follow friday a little later on...im busy taking over this ladys job.","worry"
"So sorry if ive been typing wrongly. usually","worry"
"@philispig  Is competition around the corner? if not take it slow for at least a week. Twisted my ankle back in jc","sadness"
"@jmorgan0909 and Im not getting another one ... Theres only 1 alfie","sadness"
"@AC_1 welcome to the twitter world Andrew! tell david to have a twitter too haha just kiddin i know he doesnt want to have one.. booo..","sadness"
"@tracybegins me too bb","neutral"
"@postsecret had a life changing redhead - she got away","neutral"
"Im really not feeling today...soooo much work to do and I have a soar throat  gosh","worry"
"My teeth and my eye hurt   someone make them feel better","worry"
"I think its unfair I have to miss the sun  all places of work should be closed an writing essays should not be allowed when its sunny!","sadness"
"headache","sadness"
"Chauncey is giving his last sac speech...","worry"
"goodnight loveee","love"
"Co-workers last day  we are going to miss her","sadness"
"@lelebaby21 @JazzyFiierce u guys are soo unfair smh...","hate"
"@amandagelso i know  mark is still one of my favorite boys ever. So nice and adorable.","love"
"I am using an on-screen keyboard","neutral"
"@JCinQC it is far from downtown","surprise"
"@Metal0520 I havent talked to you since the last day of school!  thats no right.","worry"
"@so_zwitschert Theres supposed to be a &lt3 at the end of my last tweet but I guess twitter ate it","neutral"
"Evermore &amp End of Fashion rocks! My poor foot though! oww! injured my foot. not good. will be sore tomorrow.  details to follow  later","sadness"
"@adlounge  Hey! Wanted to confirm were still meeting at Rivoli @ 6pm?  I can only stay for an hour and a bit  #adlounge","love"
"@jessnextdoor aww...  try to rest na lang muna... ^^","worry"
"hangover today","surprise"
"@sexxieluv I wanna go to a SexxieLuv party though","fun"
"ughhh studying for finals i wish i could go to prom","sadness"
"i am waaayyyy hungry!  oh fyi my work email is down again BLAH!","worry"
"@backstreetboys  totally missed the chatroom. Im so lame","worry"
"Oh god","hate"
"Sometimes I forget that boys have feelings too","sadness"
"@moriagerard I havent had one for a long time. Too expensive","neutral"
"@GoodGreenTea Its been a fun afternoon for me trying though....BBQs out now though...feeling a bit sick","worry"
"@Hatz94 me too. I hate my computer so much..","hate"
"I also think that Im talking to myself now. Okay I need to get to bed. BTW","sadness"
"sinus headaches suck big time!","worry"
"@Ames1103 I think that boat sailed my friend... The few CCOs that had them","relief"
"@Ana_Surprise its soooo funny! thanks or today. btw","fun"
"(@gbsinkers) Oh snap!  Just broke my windshield while replacing my wiper blades.","worry"
"@KirstenAlexa I KNOW! I love Nicholas Braun &amp I think hell make an okay Cameron but I dont wanna see it either","love"
"Damn being broke on the day Guitar Hero Metallica comes out!  Boooooooo","worry"
"how come when i straighten my hair it has to sprinkle","worry"
"so much for an amazing day...some pervert just ruined it","hate"
"@tommcfly Its 12:30AM","sadness"
"@Scrapbooks I have no idea","neutral"
"Im a giver","neutral"
"Seriously. I dont like girls.","neutral"
"ate all my chocolate","sadness"
"moving back home today. pro: obnoxiously closer to @thom1937 con: no more mpls runs/excursions for at least a year.","sadness"
"Dang i didnt even remember it was my bday today","worry"
"@AlfieJG I dont think I am","worry"
"I cant eat a hot pocket anymore without thinking about Jim Gaffigan","worry"
"Cleaning my room..","empty"
"sucks that i dont have a drawing tablet!","surprise"
"@saxa246  ive been trying to get over her for years","sadness"
"want to see him so badly","love"
"How would we get thousand battlegrounds  #battleground","worry"
"NOOOO!!!  &quotthehannabeth: i have a crush... )&quot","love"
"@francecino its alright babes &gt&lt boo. im gonna leave agaiiiiin","surprise"
"@TheMakeupSnob I know   It was worth a shot","relief"
"Heading to Beaumont","happiness"
"Truly sad... My cheap little camcorder just shot craps.....","worry"
"....... and I never got to see it on print","neutral"
"I hate only having 1gb ram to use as host and 1gb for Virtual Machine  Sucks so much","worry"
"Gonna nap n chill then probably go to the movie later. Ugh i have a headache this sux ass. Cloudy day too","empty"
"Why are you hiding behind the clouds mr. Sun","worry"
"slept for almost 11 hours straight and still tired ! better not be getting sick","surprise"
"@MarcHaduch Your DM never sent","neutral"
"(sigh) guess were not gonna meet up today.","sadness"
"GOD SCHOOL IS GOING TO SUCK ASS NEXT YEAR!","worry"
"a guy called me AD-HD kid earlier today","surprise"
"6:29 pm - ok","worry"
"i DID argue with byron because he said im fat","sadness"
"@RachellT342 ugh... I know the economy is depressing...","worry"
"@brainstuck hey! chutti was very tiring.. and have to travel again tomo  how was your Friday?","relief"
"the downfall about relaxing later is mad manual labor now...just finish cleaning the fridge..and now to fold clothes..house work blues","empty"
"@templon I personally know so many people/agencies which could have built these sites. It is like a Pres candidate buying a Honda.","neutral"
"So I slept 12 hrs! My body is aching","sadness"
"@erickadiaz I get to go to coffee now  Its no fun. I hate it too!","sadness"
"@nattymsmith awww shes laavly ) I had to come in  but Ive got a stunning wee tan (l) ) yourself?","fun"
"@fifthroom I tried TD","love"
"@billbathgate im not a doofus  it could happen wahhh!!! :(!!!!!!!!!! im on my break!!","sadness"
"Thinks my &quotnot girlfriend&quot needs to not be a douchebag right now...  im not in the mood to feel neglected","worry"
"@nikkibop and hes not even fat!!!! Huh","sadness"
"Anybody seen @MissPlush??? Where is my Twinster","surprise"
"has spent the last two weeks attempting to grow a beard (from scratch)","worry"
"left the inn  now im at school. dang its straight up dead here!! [&lt3Hannah]","sadness"
"@CursedChimera Re: Home - thats exactly what I meant... home in D-town. ) Also","worry"
"Blah to car repairs... almost 600 dollars...   Shopping around for a better deal.","sadness"
"@TylerAlyse SAC wont offer fundamentals of math 2 for teachers in summer one  booo. I miss SAC!","worry"
"@hootsuite  Darnit.  See what happens when I avoid teh interwebs for work.","sadness"
"@steven89 I dont have one here - dunno if my mom ever had one or not -","neutral"
"@kelseyrose56 I WISH YOU WERE GOING TOO!  are you still coming to nicoles preprom? @nicolesx319 Cant wait for preprom!!!!","happiness"
"Work till five!","neutral"
"hungry","neutral"
"my apartment is emptying out more &amp more each day.. so sad.. last week at 2000","sadness"
"is cleaning the house for her family who is comming later today..","neutral"
"I have to start eating healthy","neutral"
"@JekNexus Oooommmmggg","worry"
"Just got home from the bank","boredom"
"@upscalekitten hes married","neutral"
"my feet are cold.....i hate when my feet get cold","hate"
"@KrystalNichole Pretty good!!! I think I overdid the gym yesterday... other than that just working","happiness"
"What a day! #dayofservice completed","surprise"
"Whoops - I got sunburnt","surprise"
"@alyssa133 awww im sorry  what kind of fish did you have?","sadness"
"@KevynPM Ian and I are going to a matinee tomorrow","worry"
"another song that  makes me cry and cry all day  and night long.","love"
"My dog is suffering from abandonment issues. She thinks Im moving without her.","worry"
"Tum is very unhappy this morning (&amp its definitely not a hangover","worry"
"Why are some guys so stupid? They have no idea what to do with a good girl who actually cares about them..so sad","sadness"
"Bus stuck in traffic gonna be late","worry"
"@simonprobert yep","sadness"
"@asynja MMM - BTW I was just talking to you &amp you were gone.  2.95%","neutral"
"my zoids torrent crashed after 8 hours of downloading.  it was only 6% done at that time","hate"
"feeling better","worry"
"I swear","worry"
"heading to the dmv to pay them my hard-earned money","sadness"
"I burnt my finger on the toaster","worry"
"@claudiatan yes! fb","love"
"FreeSats coverage (Sky dish) is really","hate"
"@MissShell20 eeeeep so jealous ) Im at work  um","happiness"
"How do you forgive yourself for hurting the one you love the most?","sadness"
"http://twitpic.com/66u67 after the shot calmin down!","worry"
"Rumbo a bachilleres","neutral"
"@_Tanyya :O  awww leave off","worry"
"sickkk","worry"
"@MattyP_654  its this damp weather...","sadness"
"Ever been to a restaurant with over 200 items on the menu?  Lunch decision shouldnt be this hard","worry"
"@scarletty24 i know.. i suck.. im a master procrastinator  ... you guys dont have too much fun without me","sadness"
"last day off... back to work tomorrow","sadness"
"@jenmussari my internet in like 9th grade was so fast","worry"
"@diamondhead94 oh the noon? I dont know if I can make that one...I only get 30 min for lunch","worry"
"@denise_richards sorry to be the bearer of bad news.","worry"
"My baby gets her shuts today","neutral"
"wishing i was on a beach right now!!","sadness"
"Walking the puppies downtown. Also","worry"
"@OakMonster I hear ya.","happiness"
"I am so bored","empty"
"you@snapplynn Wish that would have been your tweet after you followed me.","neutral"
"Ugggh school is so boring! I cant wait for this year to be over. So stressed -.= i shoulda stayed home today....","neutral"
"Is not a happy bunny","sadness"
"@Lesley_M Melted maybe 2 square inches of skin. Ran it under cold water for a min or two and then iced until the ice melted. Now","sadness"
"Tbh having no credit in your phone sux. i cant even text people to see whats happening","sadness"
"@tommcfly Im starting to get really dizzy. Do a tour in the Philippines?  So wed feel the bliss of knowing our efforts were worth it!","worry"
"im so stressed out.  will anything get any better *sigh*","worry"
"@PGATOUR Dang I should have stuck with him in my fantasty picks","neutral"
"#3wordsaftersex  Ow","worry"
"Is getting upset at work cus bindz and j are being bullies  and they wont let me go duty free shopping!","worry"
"i would like some macaroni and cheese please....no?","empty"
"projects suck","hate"
"Walking the puppies downtown. Also","relief"
"The gigantic initial inertial to get oneself to work after a deadline","boredom"
"@MrsWilliams @Timperator f????hlt sich ganz so an #montezuma #iphone","sadness"
"omg. .please jonas brothers add an extra date in dublin in november! i tried 2 get tickets but dey were sold out.","worry"
"@rammohanr Yea...looks like it is...sorry abt nt gettin in touch..was hectic","worry"
"I think at this rate.. Ill be in class until 4... Sigh.","worry"
"@THEBFOUNDATION NOOOOOOO!!!!!!!!!!!!! why in july? im gonna be back home  NOOOOOOOOOOO!!!!!!!!!","worry"
"At a redneck hoe down apparently.","neutral"
"@belfair_rocks I WISH he could fix this dang thing!!!","worry"
"it will be my second year that i will not be there","sadness"
"@FRANK_URQUIDEZ I MISS U","sadness"
"Just about to eat","neutral"
"So cold in here!  getting the chill","worry"
"it makes me sad when people phones are sick","worry"
"@kadders Aw  it was actually what I read at first","surprise"
"@lpostlethwaite no I wish. Just a van that comes round. We missed him","surprise"
"And my basketball is flat and there was a massive spider in my pavement chalks  Now the sun has gone in. FML.","hate"
"@fish134 miss you","worry"
"@jamie_oliver damn i got it right! i suppose i took to long to reply  lol","surprise"
"why do I always wake up ONE minute before my alarm is scheduled to go off??","worry"
"43416 I miss you so much my heart is aching without you bub  http://is.gd/Ja9I","sadness"
"being far too vigorous with pruning and regretting the removal of too many cucumber flowers off cucumber plant.","sadness"
"@Mo4Sho87 im following you! im following you! im sorry!  ahhahah i missed you!","love"
"Okay so Im dedicating my 300th tweet to the fact that Im going to the Apple store because there is a HUGE crack on the glass screen!","worry"
"@michaelmphysics YES. i am thinking of staying in the office until its slightly less RIDICULOUSLY HOT","worry"
"@tommcfly Tom ","sadness"
"Its Friday... But its only Friday morning. Ugh.","neutral"
"has a VERY arduous task to accomplish at work...stuff that should have already been done &amp as usual it hasnt. Not because of me either.","anger"
"Just found out - http://tinyurl.com/qlrcec - the fucking frenchies have set a precedent","neutral"
"@RachelSexton FRUITY PEBBLES?! What? Over Lucky Charms","surprise"
"also. proof number #2923848932 that I have no life - I have an imaginary boyfriend named Vince. Its sad that my friends encourage me so.","neutral"
"oh i just check my stock port. My marketing was unable to buy me TICON at best price","sadness"
"ive burned like a ginger kid in the sun. now my arms are red","worry"
"Happy Birthday to meeeee!! Excited to go out tonight","worry"
"@cameronmarion me too  no one even liked my answers to life last night","sadness"
"@officialTila cant believe tila tequila was in ct and i didnt know... so upset","surprise"
"Getting one of our field vehicles cleaned. Looks like our action hero governor wants to give me another furlough day. How nice of him","fun"
"my twitter says it needs a break  ill be back in a bit (capacity??)","worry"
"@JHall510 Im good just bored at work","sadness"
"back to work tomoo  day 1 of 5 it will bee.","worry"
"having a reli gd holiday .. buh now have to revise  x","hate"
"Oh PW","sadness"
"Feeling so low and depressed that Im not on holiday","worry"
"@IzzyJ_Is_Here haha yeah i hate seeing him in pain so i do what I can.. and I send hugs to you too","worry"
"@Karmina13 whats up? what happened? DM me if you need to. TXT on my phone is defunkd","hate"
"@TheFeed Your STFU E3 list link is broke","neutral"
"Jeff cant get his visa in time to come visit me!    Im so sad.  In other news","sadness"
"sooo tired of this cubicle","sadness"
"@redhalo_pax Oh man... Im so sorry to hear that. I hope everything works out","worry"
"laying in bed listening to opticon. i miss joe veneck","sadness"
"going to check and make sure no more fishies are dead. poor fishies","worry"
"when i cheered","sadness"
"@DamienEstreich Brought back memories mentioning the mixer~of being pushed into Angels desk","neutral"
"Blah. So i registered to coach this summer and eh the tourney starts July 6th. My vacation 7/15-28th. Fk my life","fun"
"i am leaving soon for Kansas City to take some of my stuff. Only 8 days of living in Carthage left.","relief"
"Hello!Im back andIm drunk","hate"
"@Mcfreak_ oh i read that","surprise"
"@Jayde_Nicole I have to close my eyes when I watch it","worry"
"not eating lunch with my wife like I wanted to","worry"
"@redhalo_pax goddamn   that fucking sucks *hugs*","sadness"
"Will miss my baby for 2 days","sadness"
"Geocaching.com seems to have a huge delay delivering Pocket Queries","neutral"
"@kreativemess ah yes","neutral"
"@RoxxiNikki Its a lie just like the restaraunt named &quotGarfields&quot... he is nowhere to be found","surprise"
"@raczilla nice beta for easports still no news on the online for madden","happiness"
"YAWN! Ow","neutral"
"@marcdavies That sucks man  I hope you have a problem-free weekend.","worry"
"I am doing the  FF wrong!","worry"
"Im not ready for my baby to be 3 tomorrow  she is growing so fast....","worry"
"Getting ready for the theatre but I dont seem to like any of my clothes at the moment  I Might just wear what Ive been wearing all day..","neutral"
"Anyone know what to do when your pc keeps restarting itself?","neutral"
"Jealousy makes u into a different person ... I freakin hate being this way  gotta suck it up I guess","hate"
"I actually participated in lit today :p Also","neutral"
"Im so tired idk what 2 do...and I have 2 much 2 do ...church 2 nite","sadness"
"the food in the oven is still frozen. seems I have to advance the clock from flashing 12:00 to make the oven work","neutral"
"at wk wishin I was at Annies grad ceremony but coodnt becuz of sumthin I dnt care to mention... sooo sad","sadness"
"Not looking forward to this long trip in the morning. Im sick","worry"
"Just recollecting my jog this a.m. - almost perfect except unkown type hanging out by my vehicle.  Too much mental noise- only 6 mile jog","happiness"
